id,category,question,A,B,C,D,answer
44,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
45,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
46,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
47,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
48,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
49,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
50,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
51,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
52,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
53,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
54,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
55,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
56,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
57,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
58,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
59,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
60,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
61,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
62,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
63,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
64,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
65,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
66,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
67,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
68,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
69,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
70,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
71,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
72,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
73,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
74,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
75,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
76,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
77,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
78,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
79,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
80,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
81,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
82,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
83,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
84,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
85,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
86,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
87,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
88,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
89,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
90,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
91,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
92,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
93,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
94,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
95,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
96,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
97,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
98,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
99,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
100,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
101,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
102,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
103,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
104,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
105,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
106,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
107,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
108,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
109,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
110,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
111,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
112,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
113,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
114,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
115,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
116,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
117,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
118,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
119,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
120,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
121,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
122,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
123,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
124,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
125,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
126,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
127,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
128,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
129,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
130,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
131,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
132,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
133,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
134,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
135,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
136,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
137,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
138,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
139,Traffic Rules,Seat belt is for?,Safety,Style,Speed,Noise,A
140,Traffic Rules,Phone use while driving?,Allowed,Illegal,Optional,None,B
141,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
142,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
143,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
144,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
145,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
146,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
147,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
148,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
149,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
150,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
151,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
152,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
153,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
154,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
155,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
156,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
157,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
158,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
159,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
160,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
161,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
162,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
163,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
164,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
165,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
166,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
167,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
168,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
169,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
170,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
171,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
172,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
173,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
174,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
175,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
176,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
177,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
178,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
179,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
180,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
181,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
182,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
183,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
184,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
185,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
186,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
187,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
188,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
189,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
190,Defensive Driving,Safe distance?,1 sec,2 sec,5 sec,None,B
191,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
192,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
193,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
194,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
195,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
196,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
197,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
198,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
199,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
200,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
201,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
202,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
203,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
204,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
205,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
206,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
207,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
208,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
209,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
210,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
211,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
212,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
213,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
214,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
215,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
216,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
217,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
218,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
219,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
220,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
221,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
222,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
223,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
224,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
225,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
226,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
227,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
228,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
229,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
230,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
231,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
232,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
233,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
234,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
235,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
236,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
237,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
238,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
239,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
240,Vehicle Mechanics,Engine oil used for?,Lubrication,Painting,Cooling only,Fuel,A
241,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
242,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
243,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
244,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
245,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
246,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
247,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
248,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
249,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
250,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
251,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
252,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
253,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
254,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
255,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
256,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
257,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
258,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
259,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
260,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
261,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
262,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
263,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
264,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
265,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
266,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
267,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
268,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
269,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
270,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
271,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
272,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
273,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
274,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
275,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
276,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
277,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
278,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
279,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
280,Human Factors,Alcohol affects?,Reaction time,Car speed,Road,Tyres,A
281,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
282,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
283,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
284,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
285,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
286,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
287,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
288,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
289,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
290,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
291,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
292,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
293,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
294,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
295,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
296,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
297,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
298,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
299,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
300,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
301,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
302,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
303,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
304,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
305,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
306,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
307,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
308,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
309,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
310,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
311,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
312,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
313,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
314,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
315,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
316,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
317,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
318,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
319,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
320,Highway Code,Pedestrian at zebra crossing?,Priority,No priority,Ignore,Honk,A
